gd,eng,gr
ath-,re,
ban-,she,
bith-,ever,
iol-,many,
ion-,fit,
sìor-,ever,
fìor-,very,
saobh-,pseudo,pseudo
-lach,plural relating to people,
-radh,plural relating to 
-mhor,great,
-ail,like,
-an,diminuitive masc,
-ag,diminuitive fem,
-seach,fem ending,
an-,negative,
eu-,negative,
do-,negative quality,
so-,positive quality,
ro-,intensify,
air-,on,
co(mh)-,together,
(e)as-,out,
eadar-,between,
iar-,after,
in-,in,
iom-,about,
ud-,out,
do-,to,
fo-,under,
for,super,
far,super,
ro(mh)-,before,pro/pre
tar-,across,
aim(h)-,lack of,
deas-,right,dextr
clì-,left-,
dà,amphi,amphi
oillteach,phobic,phobic
feallach,philic,philic
aghaidh,,ante-
co-,iso,iso
ioma,poly,poly
aon(a),mono,mono
ceithir,quart,quart
teathar,tetra,tetra
sliosnach,hedron,hedron
